id,standard_price
__export__.product_template_3211,823.2
__export__.product_template_3191,823.2
__export__.product_template_2534,678.9
__export__.product_template_2649,766.5
__export__.product_template_2241,543.29
__export__.product_template_1594,381.94
__export__.product_template_1654,381.94
__export__.product_template_1648,381.94
__export__.product_template_1552,808.01
__export__.product_template_1603,381.94
__export__.product_template_2171,381.94
__export__.product_template_1609,789.28
__export__.product_template_1630,381.94
__export__.product_template_1617,381.94
__export__.product_template_1612,789.28
__export__.product_template_1619,381.94
__export__.product_template_1656,381.94
__export__.product_template_1629,789.28
__export__.product_template_1600,789.28
__export__.product_template_1618,789.2
__export__.product_template_1611,381.94
__export__.product_template_2173,789.28
__export__.product_template_1577,789.28
__export__.product_template_1655,789.28
__export__.product_template_3199,832.2
__export__.product_template_1578,789.28
__export__.product_template_1583,789.28
__export__.product_template_1659,381.94
__export__.product_template_1584,832.2
__export__.product_template_1602,548.78
__export__.product_template_1746,832.2
__export__.product_template_1851,789.28
__export__.product_template_3072,657.75
__export__.product_template_1867,381.94
__export__.product_template_2441,789.28
__export__.product_template_1858,381.94
__export__.product_template_1905,381.54
__export__.product_template_1816,381.54
__export__.product_template_1820,381.94
__export__.product_template_1811,381.94
__export__.product_template_3280,728.72
__export__.product_template_1877,381.94
__export__.product_template_1836,789.28
__export__.product_template_1818,381.94
__export__.product_template_2281,381.94
__export__.product_template_1888,486.62
__export__.product_template_1925,789.28
__export__.product_template_3208,381.94
__export__.product_template_1571,789.28
__export__.product_template_1812,691.17
__export__.product_template_1914,381.94
__export__.product_template_1819,789.28
__export__.product_template_1666,548.75
__export__.product_template_1810,789.28
__export__.product_template_3265,381.94
__export__.product_template_1887,789.28
__export__.product_template_1918,381.64
__export__.product_template_1860,381.64
__export__.product_template_1915,789.28
__export__.product_template_1876,507.57
__export__.product_template_1660,789.28
__export__.product_template_1936,381.94
__export__.product_template_1917,789.29
__export__.product_template_2839,789.28
__export__.product_template_1841,693.35
__export__.product_template_1835,789.28
__export__.product_template_3070,1914.81
__export__.product_template_1907,381.94
__export__.product_template_1913,789.28
__export__.product_template_1885,381.94
__export__.product_template_1815,381.94
__export__.product_template_1861,789.28
__export__.product_template_1912,381.94
__export__.product_template_1869,381.94
__export__.product_template_1924,664.62
__export__.product_template_1875,921.22
